"year","board_number","board_name","board_type","junior_kindergarten_enrolment","kindergarten_enrolment","grade_1_enrolment","grade_2_enrolment","grade_3_enrolment","grade_4_enrolment","grade_5_enrolment","grade_6_enrolment","grade_7_enrolment","grade_8_enrolment","total_enrolment"
"2012-2013","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",119,132,125,121,129,96,100,141,101,131,1195
"2012-2013","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",594,600,571,654,579,622,576,628,614,731,6169
"2012-2013","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1384,1471,1481,1443,1540,1446,1447,1584,1508,1543,14847
"2012-2013","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1281,1304,1334,1336,1274,1270,1343,1335,1371,1394,13242
"2012-2013","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",1043,1119,1157,1162,1177,1248,1221,1324,1311,1351,12113
"2012-2013","B15199","Moose Factory Island DSAB","Public School Board",23,36,32,33,28,28,25,27,20,11,263
"2012-2013","B15202","Moosonee DSAB","Public School Board",27,25,29,34,40,23,20,22,22,25,267
"2012-2013","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",678,628,654,632,667,609,681,708,705,725,6687
"2012-2013","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1372,1434,1474,1507,1526,1540,1524,1600,1549,1638,15164
"2012-2013","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",186,214,168,215,202,237,208,203,238,213,2084
"2012-2013","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",165,187,188,172,159,197,182,211,229,192,1882
"2012-2013","B29041","Northwest CDSB","Cath Dist Sch Brd (E/F)",130,123,143,145,130,105,123,124,157,134,1314
"2012-2013","B67180","Ottawa CDSB","Cath Dist Sch Brd (E/F)",2225,2188,2268,2289,2346,2456,2422,2532,2719,2924,24369
"2012-2013","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",4414,4718,4807,4786,5091,5053,4897,4894,4660,4820,48140
"2012-2013","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",9852,10365,11382,11295,11124,11049,10750,11099,11071,11260,109247
"2012-2013","B79910","Penetanguishene PSSB","Prot Sep Sch Brd (Sch Auth)",22,31,17,27,21,26,20,22,23,23,232
"2012-2013","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",918,920,945,933,915,922,900,1036,925,988,9402
"2012-2013","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",837,854,798,814,796,817,843,943,896,976,8574
"2012-2013","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",155,181,160,178,174,172,179,188,192,193,1772
"2012-2013","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",315,378,320,342,344,368,339,386,354,349,3495
"2012-2013","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",571,590,565,549,580,598,606,613,595,647,5914
"2012-2013","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",3188,3351,3354,3350,3431,3507,3456,3685,3515,3864,34701
"2012-2013","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1215,1252,1307,1287,1316,1370,1316,1342,1343,1411,13159
"2012-2013","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",628,553,622,621,631,643,643,649,643,739,6372
"2012-2013","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",385,399,397,388,382,370,428,419,500,504,4172
"2012-2013","B29076","Superior North CDSB","Cath Dist Sch Brd (E/F)",78,72,65,80,76,81,85,81,65,76,759
"2012-2013","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",81,89,83,79,65,81,78,80,98,104,838
"2012-2013","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",4775,5229,5092,4905,4984,4928,5019,5154,5043,5350,50479
"2012-2013","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",545,543,531,545,531,560,597,606,599,606,5663
"2012-2013","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",5443,5688,5883,5998,5891,6104,5961,6501,6438,6775,60682
"2012-2013","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",17798,18730,18374,17605,17243,16847,16548,16491,16512,16397,172545
"2012-2013","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1077,1122,1001,1080,1032,1086,1037,1147,1178,1230,10990
"2012-2013","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",1655,1796,1824,1727,1799,1860,1717,1820,1877,1921,17996
"2012-2013","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2149,2210,2298,2130,2149,2188,2143,2174,2216,2330,21987
"2012-2013","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1302,1386,1507,1430,1499,1504,1539,1524,1501,1622,14814
"2012-2013","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",3973,4441,4289,4279,4204,4149,3968,4226,4061,4188,41778
"2012-2013","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",493,484,508,542,569,554,577,590,613,675,5605
"2012-2013","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1111,1166,1304,1385,1383,1459,1530,1605,1644,1682,14269
"2012-2013","B67075","York CDSB","Cath Dist Sch Brd (E/F)",3221,3476,3697,3740,3873,3749,3868,3995,3858,3897,37374
"2012-2013","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",6650,7305,8042,7969,8327,8195,8447,8466,8563,8642,80606
"2013-2014","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",634,661,665,652,644,610,637,619,643,737,6502
"2013-2014","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",768,816,846,765,741,761,716,788,737,747,7685
"2013-2014","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",968,1010,1021,1038,1007,1014,1008,1052,1066,1067,10251
"2013-2014","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",1026,1202,1156,1126,1129,1121,1087,1103,1235,1118,11303
"2013-2014","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",553,580,620,622,616,665,633,671,677,655,6292
"2013-2014","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",271,256,272,222,262,230,251,228,255,253,2500
"2013-2014","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",760,814,816,813,808,819,879,862,1042,1009,8622
"2013-2014","B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",1114,1132,1076,1030,949,903,845,846,790,797,9482
"2013-2014","B67300","Conseil scolaire catholique Providence","Cath Dist Sch Brd (E/F)",835,872,858,855,846,779,705,636,576,573,7535
"2013-2014","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",1120,1107,1050,976,917,843,750,634,584,514,8495
"2013-2014","B28118","CSD du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",169,179,188,174,153,172,158,123,143,151,1610
"2013-2014","B28100","CSD du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",217,181,202,161,162,139,129,124,107,123,1545
"2013-2014","B67318","CSDC Centre-Sud","Cath Dist Sch Brd (E/F)",1347,1452,1355,1330,1307,1184,1134,1060,1007,906,12082
"2013-2014","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",776,756,796,729,731,730,694,667,695,659,7233
"2013-2014","B29130","CSDC des Aurores boréales","Cath Dist Sch Brd (E/F)",67,72,61,73,67,57,65,65,60,44,631
"2013-2014","B29106","CSDC des Grandes Rivières","Cath Dist Sch Brd (E/F)",465,442,394,440,395,387,416,439,435,429,4242
"2013-2014","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1753,1860,1844,1817,1672,1632,1554,1577,1303,1292,16304
