"year","board_number","board_name","board_type","school_number","school_name","school_type","school_special_condition_code","school_level","school_language","grade_range","street","municipality","city","postal_code","enrolment","latitude","longitude","percentage_of_students_whose_first_language_is_not_english","percentage_of_students_whose_first_language_is_not_french","percentage_of_students_who_are_new_to_canada_from_a_non_english_speaking_country","percentage_of_students_who_are_new_to_canada_from_a_non_french_speaking_country","percentage_of_students_receiving_special_education_services","percentage_of_students_identified_as_gifted","percentage_of_grade_3_students_achieving_the_provincial_standard_in_reading","percentage_of_grade_3_students_achieving_the_provincial_standard_in_writing","percentage_of_grade_3_students_achieving_the_provincial_standard_in_mathematics","percentage_of_grade_6_students_achieving_the_provincial_standard_in_reading","percentage_of_grade_6_students_achieving_the_provincial_standard_in_writing","percentage_of_grade_6_students_achieving_the_provincial_standard_in_mathematics","percentage_of_grade_9_students_achieving_the_provincial_standard_in_academic_mathematics","percentage_of_grade_9_students_achieving_the_provincial_standard_in_applied_mathematics","percentage_of_students_that_passed_the_grade_10_osslt_on_their_first_attempt","percentage_of_school_aged_children_who_live_in_low_income_households","percentage_of_students_whose_parents_have_no_degree_diploma_or_certificate","percentage_of_grade_9_students_achieving_the_provincial_standard_in_mathematics"
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","352632","McKee Public School","Public","Not applicable","Elementary","English","JK-5","35 Church Ave","Toronto, City of","North York","M2N6X6","610",43.7741,-79.411,56,100,36,37,6,1,91,84,84,NA,NA,NA,NA,NA,NA,24,2,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","354716","McMurrich Junior Public School","Public","Not applicable","Elementary","English","JK-6","115 Winona Dr","Toronto, City of","Toronto","M6G3S8","505",43.67807,-79.4311,8,100,4,4,11,18,78,68,72,96,97,75,NA,NA,NA,6,3,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","356662","Meadowvale Public School","Public","Not applicable","Elementary","English","JK-8","761 Meadowvale Rd","Toronto, City of","Scarborough","M1C1T1","315",43.7955,-79.1641,30,100,20,15,10,0,91,80,69,100,96,52,NA,NA,NA,10,5,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","360198","Melody Village Junior School","Public","Not applicable","Elementary","English","JK-8","520 Silverstone Dr","Toronto, City of","Etobicoke","M9V3L5","200",43.73813,-79.5948,25,100,0,0,5,0,NA,NA,65,93,81,19,NA,NA,NA,15,10,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","364690","Military Trail Public School","Public","Not applicable","Elementary","English","JK-8","701 Military Trail","Toronto, City of","Scarborough","M1E4P6","395",43.78911,-79.1971,50,100,20,20,20,0,44,33,27,57,42,16,NA,NA,NA,25,10,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","364746","Mill Valley Junior School","Public","Not applicable","Elementary","English","JK-5","411 Mill Rd","Toronto, City of","Etobicoke","M9C1Y9","185",43.64418,-79.587,30,100,10,5,5,0,93,89,89,NA,NA,NA,NA,NA,NA,5,0,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","365793","Milliken Public School","Public","Not applicable","Elementary","English","JK-8","130 Port Royal Trail","Toronto, City of","Scarborough","M1V2T4","295",43.81658,-79.2885,65,100,10,10,5,0,80,73,74,91,97,54,NA,NA,NA,15,20,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","365769","Millwood Junior School","Public","Not applicable","Elementary","English","JK-5","222 Mill Rd","Toronto, City of","Etobicoke","M9C1Y2","400",43.63354,-79.5772,30,100,5,5,0,0,74,56,66,NA,NA,NA,NA,NA,NA,5,0,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","365890","Milne Valley Middle School","Public","Not applicable","Elementary","English","6-8","100 Underhill Dr","Toronto, City of","North York","M3A2J9","500",43.74741,-79.3268,41,100,15,15,18,1,NA,NA,NA,73,71,38,NA,NA,NA,15,6,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","927384","Monarch Park Collegiate Institute","Public","Not applicable","Secondary","English","9-12","1 Hanson St","Toronto, City of","Toronto","M4J1G6","1015",43.67914,-79.3234,19,99,4,5,23,7,NA,NA,NA,NA,NA,NA,NA,NA,88,7,3,70
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","371351","Montrose Junior Public School","Public","Not applicable","Elementary","English","JK-6","301 Montrose Ave","Toronto, City of","Toronto","M6G3G9","185",43.65867,-79.4188,15,100,5,10,5,0,100,100,100,100,100,70,NA,NA,NA,0,0,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","373559","Morrish Public School","Public","Not applicable","Elementary","English","JK-8","61 Canmore Blvd","Toronto, City of","Scarborough","M1C3T7","315",43.7933,-79.1792,30,100,10,15,15,0,86,82,73,93,100,59,NA,NA,NA,10,0,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","374733","Morse Street Junior Public School","Public","Not applicable","Elementary","English","JK-6","180 Carlaw Ave","Toronto, City of","Toronto","M4M2R9","390",43.66016,-79.3402,5,95,5,5,10,0,74,68,70,85,87,71,NA,NA,NA,5,0,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","336580","Mountview Alternative School School","Public","Not applicable","Elementary","English","JK-8","99 Mountview Ave","Toronto, City of","Toronto","M6P2L5","95",43.6575,-79.4616,0,100,0,0,20,0,NA,NA,NA,83,83,83,NA,NA,NA,0,0,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","378577","Muirhead Public School","Public","Not applicable","Elementary","English","JK-5","25 Muirhead Rd","Toronto, City of","Toronto","M2J3W3","240",43.77888,-79.3374,50,100,50,50,10,0,45,31,30,NA,NA,NA,NA,NA,NA,20,0,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","927708","Native Learning Centre","Public","Not applicable","Secondary","English","9-12","83 Alexander St","Toronto, City of","Toronto","M4Y1B7","SP",43.66361,-79.3795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","915166","Native Learning Centre East","Public","Not applicable","Secondary","English","9-12","405 Guildwood Parkway","Toronto, City of","Scarborough","M1E1R3","SP",43.74756,-79.1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","433624","Nelson Mandela Park Public School","Public","Not applicable","Elementary","English","JK-8","440 Shuter St","Toronto, City of","Toronto","M5A1X6","385",43.65816,-79.3607,45,95,20,20,15,0,50,38,26,76,76,17,NA,NA,NA,25,15,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","928810","Newtonbrook Secondary School","Public","Not applicable","Secondary","English","9-12","155 Hilda Ave","Toronto, City of","Toronto","M2M1V6","870",43.79354,-79.4262,65,100,33,33,14,0,NA,NA,NA,NA,NA,NA,NA,NA,98,14,6,39
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","384879","Niagara Street Junior Public School","Public","Not applicable","Elementary","English","JK-6","222 Niagara St","Toronto, City of","Toronto","M6J2L3","305",43.64393,-79.4082,20,95,20,20,5,5,76,67,62,100,100,84,NA,NA,NA,15,0,NA
