"year","board_number","board_name","board_type","grade_9_enrolment","grade_10_enrolment","grade_11_enrolment","grade_12_enrolment","total_enrolment"
"2013-2014","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",212,225,171,262,870
"2013-2014","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",88,96,78,164,426
"2013-2014","B67180","Ottawa CDSB","Cath Dist Sch Brd (E/F)",3137,3405,3555,4170,14267
"2013-2014","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",5106,5345,5539,8329,24319
"2013-2014","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",9731,10081,10460,13902,44174
"2013-2014","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",1086,1125,1130,1374,4715
"2013-2014","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",1060,1096,1245,1797,5198
"2013-2014","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",259,268,257,386,1170
"2013-2014","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",253,254,224,332,1063
"2013-2014","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",792,811,878,1226,3707
"2013-2014","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",3801,3873,3872,5341,16887
"2013-2014","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1625,1688,1730,2266,7309
"2013-2014","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",641,603,616,858,2718
"2013-2014","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",499,508,523,581,2111
"2013-2014","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",205,207,197,232,841
"2013-2014","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",5237,5473,5499,8262,24471
"2013-2014","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",563,565,552,650,2330
"2013-2014","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",7040,7096,7335,9160,30631
"2013-2014","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",16397,17751,18685,26888,79721
"2013-2014","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1430,1423,1684,2012,6549
