"year","month","cases","beneficiaries"
2024,12,697668.724577337,1027000.5380728
2025,1,703452.640748606,1035543.87569866
2025,2,699446.477129636,1027838.43626859
2025,3,702723.00960649,1031223.74337822
2025,4,705116.137695337,1035489.05930541
2025,5,707086.636518626,1038499.00733562
2025,6,705010.01166281,1034709.34485513
2025,7,706923.870442447,1037898.76106119
2025,8,708078.755679563,1040036.647703
2025,9,706500.691081381,1036614.3059243
2025,10,709509.472199218,1041296.05822886
2025,11,706303.581674004,1035700.0865019
2025,12,706820.314540576,1035639.61472626
2026,1,709986,1040174
2026,2,708108,1035869
2026,3,712554,1040236
