"year","month","cma_code","cma","cases","fts","ftsp","ftc","fs1","fs2","fs3","age24","age2554","age55","male","female","moa035","moa3659","moa60"
2006,9,"505","505 - Ottawa--Gatineau",16625,13285,1392,1948,13285,1957,1383,1228,10901,4496,8750,7875,4045,2202,10378
2006,9,"521","521 - Kingston",4348,3323,398,627,3323,618,407,352,3055,941,2276,2072,953,502,2893
2006,9,"529","529 - Peterborough",2754,2172,201,381,2172,366,216,251,1874,629,1436,1318,607,356,1791
2006,9,"532","532 - Oshawa",4812,3896,423,493,3896,581,335,487,3261,1064,2387,2425,1230,695,2887
2006,9,"535","535 - Toronto",68171,54813,4859,8499,54813,8367,4991,4794,41097,22280,35511,32660,19613,10616,37942
2006,9,"537","537 - Hamilton",14898,11553,1315,2030,11553,1990,1355,1058,9972,3868,7843,7055,3386,2033,9479
2006,9,"539","539 - St. Catharines--Niagara",9318,7146,838,1334,7146,1337,835,685,6305,2328,4837,4481,2126,1160,6032
2006,9,"541","541 - Kitchener--Cambridge--Waterloo",6561,5230,475,856,5230,847,484,691,4238,1632,3358,3203,1742,979,3840
2006,9,"543","543 - Brantford",3607,2674,389,544,2674,552,381,314,2389,904,1842,1765,830,480,2297
2006,9,"550","550 - Guelph",1914,1546,158,210,1546,230,138,180,1282,452,947,967,475,272,1167
2006,9,"555","555 - London",9669,7511,813,1345,7511,1321,837,727,6569,2373,4990,4679,2366,1364,5939
2006,9,"559","559 - Windsor",6458,5039,496,923,5039,842,577,477,4143,1838,3284,3174,1527,951,3980
2006,9,"568","568 - Barrie",2412,1922,202,288,1922,323,167,251,1632,529,1211,1201,595,333,1484
2006,9,"580","580 - Greater Sudbury",4774,3701,432,641,3701,688,385,366,3390,1018,2468,2306,1009,699,3066
2006,9,"595","595 - Thunder Bay",3752,3005,359,388,3005,479,268,270,2685,797,1925,1827,828,494,2430
2006,12,"505","505 - Ottawa--Gatineau",16848,13465,1426,1957,13465,1994,1389,1245,11044,4559,8861,7987,4206,2230,10412
2006,12,"521","521 - Kingston",4441,3410,403,628,3410,614,417,365,3130,946,2317,2124,1040,503,2898
2006,12,"529","529 - Peterborough",2812,2220,217,375,2220,370,222,252,1907,653,1462,1350,634,380,1798
2006,12,"532","532 - Oshawa",4928,3976,447,505,3976,607,345,506,3342,1080,2448,2480,1308,723,2897
2006,12,"535","535 - Toronto",69655,55957,5032,8666,55957,8523,5175,4908,42077,22670,36215,33440,20564,11089,38002
2006,12,"537","537 - Hamilton",15019,11605,1351,2063,11605,2022,1392,1065,10068,3886,7890,7129,3425,2121,9473
2006,12,"539","539 - St. Catharines--Niagara",9451,7241,835,1375,7241,1364,846,715,6375,2361,4912,4539,2201,1177,6073
2006,12,"541","541 - Kitchener--Cambridge--Waterloo",6754,5384,488,882,5384,862,508,716,4349,1689,3465,3289,1836,1027,3891
2006,12,"543","543 - Brantford",3659,2699,411,549,2699,572,388,321,2430,908,1859,1800,862,487,2310
2006,12,"550","550 - Guelph",1940,1563,157,220,1563,230,147,183,1292,465,954,986,492,278,1170
2006,12,"555","555 - London",9835,7637,818,1380,7637,1357,841,763,6662,2410,5046,4789,2480,1401,5954
